spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,
3iPUqYAqDdpnTmCF2FRFdX,المهزلة,Nasrat Al Bader,10,0,-1,Saudi Arabia,2024-11-19,53,False,262368,المهزلة,2024-08-01,0.657,0.824,2,-5.722,0,0.127,0.716,0,0.328,0.7,106.149,4,
4ltU2MHw7l9Mbr7NhbNjLV,"A venit poliția - From ""Candidatul perfect"" The Movie",Theo Rose,1,0,0,Romania,2024-11-19,62,False,144303,"A venit poliția (From ""Candidatul perfect"" The Movie)",2024-10-11,0.81,0.803,6,-5.587,0,0.0824,0.142,0.000741,0.0454,0.962,158.092,4,
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2,0,1,Romania,2024-11-19,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4,
6YnNRZZH53YVue4gpk7jYQ,Spania,Dani Mocanu,3,0,-1,Romania,2024-11-19,58,False,159194,Spania,2024-09-27,0.888,0.906,9,-5.386,0,0.0951,0.0387,0.0000845,0.858,0.896,132.029,4,
2yUZv6utvoeV0B79YSn7pq,Hai sa ne iubim ca nemtii,Dani Mocanu,4,0,2,Romania,2024-11-19,60,False,150239,Hai sa ne iubim ca nemtii,2024-07-08,0.822,0.866,0,-4.205,1,0.115,0.00969,0.000596,0.145,0.945,74.977,4,
3BAZCKKEbilNdQgTSLBca9,Păi naa,"Babasha, Ministerul Manelelor",5,0,2,Romania,2024-11-19,59,False,160450,Păi naa,2024-06-01,0.746,0.831,0,-6.021,0,0.038,0.444,0.0107,0.099,0.964,138.953,4,
4tKYYeJUKdWxyiWlVqUIj8,Turbo Orange,Mgk666,6,0,-2,Romania,2024-11-19,57,True,160000,Turbo Orange,2024-10-20,0.705,0.633,11,-6.586,1,0.286,0.518,0,0.2,0.589,90.249,4,
4KzxeD91DwTgMu0uArD6tg,Lamborghini,"YNY Sebi, Bogdan DLP",7,1,-2,Romania,2024-11-19,58,False,172105,Lamborghini,2024-08-23,0.748,0.775,9,-3.229,0,0.0604,0.326,0,0.146,0.766,94.992,4,
7CzIPuAZjl1K8wYPOOzHyL,Mercedes,"Iuly Neamtu, Manele Mentolate",8,-1,2,Romania,2024-11-19,57,False,165269,Mercedes,2024-08-09,0.815,0.865,5,-4.194,0,0.033,0.26,0.0078,0.105,0.959,144.014,4,
4TLyVQPY9Kuwh9ptK9NZBn,"Yali, Yali","Babasha, Ministerul Manelelor",9,0,2,Romania,2024-11-19,57,False,155714,"Yali, Yali",2024-08-14,0.803,0.763,9,-4.327,0,0.0354,0.153,0.00000317,0.114,0.756,126.022,4,
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",10,2,-1,Romania,2024-11-19,92,True,256000,Timeless,2024-09-27,0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4,
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",1,0,0,Paragay,2024-11-19,89,True,224022,PRIMERA MUSA,2024-09-20,0.56,0.681,6,-6.304,0,0.244,0.103,0,0.106,0.388,155.079,4,
6kPCcIAGoTeRrh8qrmKa90,Piel,"Tiago PZK, Ke Personajes",2,0,1,Paragay,2024-11-19,79,True,142041,GOTTI A,2024-07-04,0.646,0.907,0,-1.617,1,0.0593,0.422,0,0.14,0.816,168.004,4,
4p7DTkyrKqT98xlIwYYfXz,Running Wild,Jin,3,3,47,Paragay,2024-11-19,84,False,151646,Happy,2024-11-15,0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4,
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,4,4,4,Paragay,2024-11-19,86,False,182293,Layover,2023-08-11,0.633,0.607,0,-6.182,0,0.0532,0.183,0.00000138,0.167,0.363,74.029,4,
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,5,0,-1,Paragay,2024-11-19,93,False,195824,Si Antes Te Hubiera Conocido,2024-06-21,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",6,1,0,Paragay,2024-11-19,83,True,130880,LA PANTERA NEGRA (DELUXE),2024-10-17,0.744,0.709,6,-5.778,0,0.284,0.0501,0,0.0847,0.712,194.055,4,
